kota_raw,kota,rumah_sakit,nomor_telpon,nama_dokter,spesialis_raw,spesialis_standar,subspesialis_raw,subspesialis_standar,non_spesialis_raw,sumber_data
" Tangerang, Tangerang ",Tangerang,Mayapada Hospital Tangerang   ,-,"dr. Alifi Maulidyan, Sp.BA"," Dokter Bedah, Sp. Bedah Anak ",Spesialis Bedah (Sp.B)," Dokter Bedah, Sp. Bedah Anak ",Subspesialis Bedah Anak (Sp.BA),-,halodoc_csv
" Pondok Aren, Tangerang Selatan ",Tangerang Selatan,RS Mitra Keluarga Bintaro   ,-,"dr. Agi Satria Putranto, Sp.B-KBD"," Dokter Bedah, Sp. Bedah Digestif ",Spesialis Bedah (Sp.B)," Dokter Bedah, Sp. Bedah Digestif ",Subspesialis Bedah Digestif (Sp.B-KBD),-,halodoc_csv
" Pondok Gede, Bekasi ",Bekasi,Quality Dental Care Jatibening   ,-,drg. Achmad Fanfani, Dokter Gigi ,Dokter Gigi,-,-,-,halodoc_jakarta_csv
" Kelapa Dua, Kabupaten Tangerang ",Kabupaten Tangerang,Siloam Hospitals Kelapa Dua   ,-,drg. Andre Hasiholan Pangaribuan, Dokter Gigi ,Dokter Gigi,-,-,-,halodoc_csv
" Tangerang, Tangerang ",Tangerang,Mayapada Hospital Tangerang   ,-,drg. Andre Iman Kosasih, Dokter Gigi ,Dokter Gigi,-,-,-,halodoc_csv
" Pondok Gede, Bekasi ",Bekasi,Quality Dental Care Jatibening   ,-,drg. Achmad Fanfani, Dokter Gigi ,Dokter Gigi,-,-,-,halodoc_csv
" Tegal Barat, Kota Tegal ",Kota Tegal,RS Mitra Keluarga Tegal   ,-,"A.D. Andriyanti, S.Psi., Psi", Psikolog Klinis ,Psikolog Klinis ,-,-,-,halodoc_jakarta_csv
" Kelapa Dua, Kabupaten Tangerang ",Kabupaten Tangerang,Siloam Hospitals Lippo Village   ,-,"dr. Adi Suryanto Budhipramono, Sp.A", Sp. Anak ,Spesialis Anak (Sp.A),-,-,-,halodoc_csv
" Tangerang, Tangerang ",Tangerang,Mayapada Hospital Tangerang   ,-,"dr. Anastasia Maureen, Sp.A", Sp. Anak ,Spesialis Anak (Sp.A),-,-,-,halodoc_csv
" Cilandak, Jakarta Selatan ",Jakarta Selatan,Mayapada Hospital Jakarta Selatan   ,-,"dr. Achmad Faisal, Sp.BTKV", Sp. Bedah Toraks Kardiovaskular ,Spesialis Bedah (Sp.B), Sp. Bedah Toraks Kardiovaskular ,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"dr. Abdul Halim Raynaldo, Sp.JP", Sp. Jantung & Pembuluh Darah ,Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,halodoc_jakarta_csv
" Kelapa Dua, Kabupaten Tangerang ",Kabupaten Tangerang,Siloam Hospitals Lippo Village   ,-,"dr. Alexy Oktoman Djohansjah, Sp. OG (K) Onk", Sp. Kandungan & Kebidanan ,Spesialis Obstetri dan Ginekologi (Sp.OG),-,-,-,halodoc_csv
" Pondok Aren, Tangerang Selatan ",Tangerang Selatan,RSIA Bina Medika Bintaro   ,-,"dr. Andika Dwicahyo, Sp.OT", Sp. Orthopaedi & Traumatologi ,Spesialis Orthopaedi dan Traumatologi (Sp.OT),-,-,-,halodoc_csv
